methyl_loss_weight,backbone_lr_multiplier,focal_gamma,overall_acc,natural_acc,methyl_acc
2.0,0.05,0.0,0.16555555555555557,0.19029374201787994,0.0
2.0,0.05,2.0,0.1688888888888889,0.194125159642401,0.0
2.0,0.1,0.0,0.1711111111111111,0.194125159642401,0.017094017094017096
2.0,0.1,2.0,0.17,0.19284802043422733,0.017094017094017096
3.0,0.05,0.0,0.16555555555555557,0.19029374201787994,0.0
3.0,0.05,2.0,0.1688888888888889,0.194125159642401,0.0
3.0,0.1,0.0,0.17555555555555555,0.1979565772669221,0.02564102564102564
3.0,0.1,2.0,0.17555555555555555,0.1966794380587484,0.03418803418803419
5.0,0.05,0.0,0.17,0.19284802043422733,0.017094017094017096
5.0,0.05,2.0,0.1688888888888889,0.19157088122605365,0.017094017094017096
5.0,0.1,0.0,0.17555555555555555,0.1966794380587484,0.03418803418803419
5.0,0.1,2.0,0.17666666666666667,0.1979565772669221,0.03418803418803419
